"brand_name","variety","country_name"
"1 To 3 Noodles","Chatpat Masala","India"
"7 Select","Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup","Thailand"
"7 Select/Nissin","Super Tom Yum Shrimp","Thailand"
"A-One","Mì Ly Instant Noodles Mì Tôm Shrimp Flavor","Vietnam"
"A-Sha Dry Noodle","No. 10 Mandarin Noodle - Black Pepper Sauce","Taiwan"
"A1","Vegetarian Herbal Noodle","Malaysia"
"ABC","Mi Goreng Pangsit Fried Noodle With Dumpling","Indonesia"
"Acecook","Super Cup Torigawa Shoyu","Japan"
"Adabi","Mi Segera Tom Yam Instant Noodles","Malaysia"
"Ah Lai","White Curry Noodle","Malaysia"
"Ajinatori","Chicken Flavor Ramen","Japan"
"Amianda","Homely Dried Noodles - Sesame Pate","Taiwan"
"Amino","Zurek","Poland"
"Annie Chun's","Ramen House Spring Vegetable Ramen","USA"
"Aroi","Curry Me! Penang White Curry Stir-fry Noodle","Malaysia"
"Asia Gold","Instant Noodles With Shrimp Flavouring","Hungary"
"Asian Thai Foods","Krrish Instant Noodles Vegetable Curry Flavor","Nepal"
"Authentically Asian","Natural Quality Foods Pad Thai Noodle Bowl","USA"
"Azami","Chili Chicken Flavour Noodle Soup","Canada"
"Baijia","Hot & Sour Casserole Stewed Rice Noodle","China"
"Baixiang Noodles","Artificial Pork Flavour","China"
"Baltix","Instant Noodles With Beef Flavour Broth","Estonia"
"Bamee","Cup Oriental Style Instant Noodles Chicken Flavour","Thailand"
"Batchelors","Super Noodles Low Fat Sweet Thai Chilli","UK"
"Binh Tay","Mi Chay Vegetarian","Vietnam"
"Bon Go Jang","Deuchi Udon","South Korea"
"Bonasia","Instant Noodles Shrimp Flavour","Hungary"
"Boss","Shrimp Tom Yum Flavor","Thailand"
"Campbell's","Hearty Noodles Thai Flavour","Canada"
"Cap Atoom Bulan","Mie Telor Asli","Indonesia"
"CarJEN","Otentiq Cheezy Mushroom Instant Noodles","Malaysia"
"Chaudhary's Wai Wai","Instant Noodles Artificial Chicken & Shrimp Flavored","India"
"Chencun","Stewde Chicken Of Mushroom","China"
"Chering Chang","Instant Non-Fried Noodles Vegetable Curry Flavor","Taiwan"
"Chewy","Rice Vermicelli Scallop With XO Sauce Flavour","Hong Kong"
"Chikara","Shrimp Udon","USA"
"China Best","Frozen Satay Sauce Noodle","Taiwan"
"Ching's Secret","Hot Garlic Instant Noodles","India"
"Chorip Dong","Jjambbong Hot Spicy Seafood","South Korea"
"ChoripDong","Hurricane Rice Cake (Topokki)","South Korea"
"Choumama","XO Scallops Sauce Dry Noodles","Taiwan"
"Chuan Wei Wang","Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor","China"
"Cintan","Mi Segera Mmm... Perisa Ayam Cendawan","Malaysia"
"CJ CheilJedang","Katsuobushi Udon","South Korea"
"Conimex","Oriental Noodles Hot & Spicy","Netherlands"
"Crystal Noodle","Soup All Natural Hot & Sour","USA"
"Curry Prince","Penang Authentic White Curry Noodle","Malaysia"
"Daddy","Kari 365 Curry Flavour","Malaysia"
"Daifuku","Katsuo Bowl Udon","USA"
"Daikoku","Hiroshima Flavor Yakisoba","Japan"
"Daraz","Negi Man Ramen","Japan"
"Deshome","Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor","Taiwan"
"Doll","Instant Noodle Vegetarian Flavour","Hong Kong"
"Dongwon","RaUdong Unfried Noodle With Kimchi","South Korea"
"Dr. McDougall's","Vegan Pad Thai Noodle Soup","USA"
"Dragonfly","Artificial Hot & Sour Shrimp","China"
"Dream Kitchen","Curry Flavour Instant Noodles","USA"
"E-mi","Mi Perencah Ayam Jagung","Malaysia"
"E-Zee","Instant Noodles Chicken Flavour","Malaysia"
"Eat & Go","Spicy Chicken Mi Instan Cup","Indonesia"
"Econsave","Choice Instant Noodles Curry Flavour","Malaysia"
"Emart","Dare You! Habanero Ramen (New Edition)","South Korea"
"Fantastic","Noodles Crispy Bacon Flavour","Australia"
"Farmer's Heart","Pho Beef Flavor Vietnamese Rice Noodle Soup","USA"
"Fashion Food","Yummy Spicy Rice Soup With Seafood","Thailand"
"Fashion Foods","Oriental","Thailand"
"FMF","Chow Masala","Fiji"
"Foodmon","DJ DOC Jjolmyeon","South Korea"
"Forest Noodles","Purple Sweet Potato Noodles With Taiwanese Sauce","Taiwan"
"Fortune","Udon Mushroom","USA"
"Four Seas","Kung Tak Lam Vegetarian Noodle (Mushroom)","Hong Kong"
"Fu Chang Chinese Noodle Company","Hot & Spicy Beef","USA"
"Fuji Mengyo","Nabeyaki Udon","Japan"
"Fujiwara","Hokkaido Hakodate Shio Ramen","Japan"
"Fuku","Non-Fried Superior Soup Noodle","Hong Kong"
"GaGa","Mi Instan Cup Milk Chicken Soup","Indonesia"
"Gau Do","Chicken Shrimp","Vietnam"
"Gefen","Chicken","USA"
"GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Taiwan"
"Global Inspiration","Gyeong-Gi-Do Rice","South Korea"
"Goku-Uma","Ramen Noodles Soy Sauce Flavor","USA"
"Goku Uma","Hot & Spicy Beef","Japan"
"Golden Mie","chicken","Dubai"
"Golden Wheat","South Korean Style Pork","China"
"Golden Wonder","The Nation's Noodle Beef & Tomato Flavour","UK"
"Gomex","3 Mien Mi Tom Chua Cay Hot sour Shrimp","Vietnam"
"Good Tto Leu Foods","Lightning Beef Bone Tteokguk Rice Cake Soup","South Korea"
"Great Value","Chicken Style Ramen Noodles","Canada"
"GreeNoodle","Miso","Thailand"
"GS25","Gonghwachun Jjamppong","South Korea"
"Guava Story","Anchovy Flavor Guava Rice Noodles","South Korea"
"Haioreum","Asian Style Noodles Seafood","South Korea"
"Han's South Korea","Rice Noodle With Kimchi Flavored Soup","South Korea"
"Hankow","Shanghai Kaiyang Noodle","China"
"Hao Way","Penang Vegetarian Prawn Instant Bowl Noodles","Malaysia"
"Happy Cook","Toona Paste Noodle","Taiwan"
"Happy Family","Curry Flavour Instant Noodles","Singapore"
"Healtimie","Green Barley Noodle Vegetable Soup","Indonesia"
"Hi-Myon","Katsuo Udon","South Korea"
"Higashi","Nagasaki Sara Udon","Japan"
"Higashimaru","Tonkotsu Ramen","Japan"
"HoMyeonDang","Premium Noodle House Don Ramyun","South Korea"
"Hosoonyi","Naengmyeon Combo","USA"
"Hsin Tung Yang","Tiny Noodle With Oyster Flavor","Taiwan"
"Hua Feng","Three Fresh Delicacies Instant Noodle","China"
"Hua Feng Noodle Expert","Favoury Pork Flavor","China"
"Ibumie","Always Mi Goreng Perisa Thai Tom Yam","Malaysia"
"IbuRamen","Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor","USA"
"ICA","Asia Snabbnudlar Kycklingsmak","Sweden"
"Ikeda Shoku","Nabeyaki Kitsune Udon","Japan"
"iMee","Instant Noodles chicken Flavour","Netherlands"
"Indomie","Onion Chicken","Indonesia"
"iNoodle","Taiwan Style Chow Mein","Taiwan"
"Ishimaru","Tuna Flavor Ramen","Japan"
"Itomen","Crab Flavor Instant Ramen","Japan"
"Itsuki","Yuzu Sesame Sauce Udon","Japan"
"J.J.","Snek Mi Perisa BBQ","Malaysia"
"Jackpot Teriyaki","Beef Ramen","USA"
"JFC","Japanese Style Noodle Fresh Udon","Japan"
"Jingqi","Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce","Taiwan"
"JML","Supreme Bowl Noodles With Stewed Egg Sour Beans With Pork Flavour","China"
"Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Taiwan"
"Kabuto Noodles","Miso Ramen","UK"
"Kailo","Big Bowl Crab ","Hong Kong"
"Kamfen","Noodle King Artificial Abalone And Chicken Soup Flavored","Hong Kong"
"Kang Shi Fu","Artificial Beef With Sauerkraut Flavour","Hong Kong"
"Katoz","Instant Noodles Spicy Chili","Sweden"
"Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Taiwan"
"Kim's Bowl","Vegetarian Tom Yum","Thailand"
"Kim Ve Wong","Jaopai Series: Vegetarian Instant Noodles","Taiwan"
"Kimura","Kumamoto Tonkotsu Ramen","Japan"
"Kin-Dee","Instant Rice Noodle Spicy Seafood","Thailand"
"Knorr","Pizza","Pakistan"
"Ko-Lee","Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour","UK"
"Koh Thai","Island Of Flavours Tom Yum Instant Noodles Soup","Netherlands"
"Koka","Purple Wheat Noodles Aglio Olio","Singapore"
"KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Singapore"
"Komforte Chockolates","Savory Ramen ","USA"
"Koyo","Mushroom","USA"
"Kumamoto","Tonkotsu Ramen MEGA Dragon","Japan"
"Kuriki","Plum Mayo Ramen","Japan"
"La Fonte","Spaghetti With Mushroom Sauce","Indonesia"
"La Moderna","Sazon Casero Sopa Con Tomate Y Sabor Pollo","Mexico"
"Lee Fah Mee","Sarawak White Laksa Instant Noodle","Sarawak"
"Lele","Instant Noodles Beef","Ghana"
"Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","China"
"Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","USA"
"Lishan","Black Rooster Chicken","Taiwan"
"Lishan Food Manufacturing","Black Cock Brand Vegetarian Chicken Noodle","Taiwan"
"Little Cook","TVP Stewed Pork","Thailand"
"Liu Quan","Instant Spicy Rice Noodle","China"
"Long Jun Hang","Tainan Yi Mien With Sesame Oil Sauce","Taiwan"
"Long Kow","Crystal Noodles Vegetables","China"
"Lotus Foods","Jade Pearl Rice Ramen","USA"
"Love Cook","Guanmiao Dried Noodles With Shallot Flavor","Taiwan"
"Lucky Me!","Sotanghon Artificial Chicken","Philippines"
"Maggi","2 Minute Noodles Thrillin' Curry","India"
"Maitri","Vegetarian Fried Noodles (Mie Goreng)","Indonesia"
"Mama","Rangers Snack Noodles Shrimp Tom Yum Flavour","Myanmar"
"MAMA","Oriental Kitchen Instant Rice Vermicelli In Gravy","Thailand"
"Mama Pat's","Lamb Stew Flavor Instant Ramen Noodles","USA"
"Mamee","Chef Gold Recipe Mi Kari Seribu Rasa","Malaysia"
