"variety","top_ten","stars","country_name"
"Gotsumori Sauce Yakisoba","2015 #9","5","Japan"
"Soon Veggie Noodle Soup","2014 #9","5","South Korea"
"Cheese Noodle","2014 #6","5","South Korea"
"Maesaengyitangmyun Baked Noodle","2014 #5","5","South Korea"
"Otafuku Okonomi Sauce Yakisoba","2014 #4","5","Japan"
"Kokomen Spicy Chicken","2013 #9","5","South Korea"
"Ippeichan Yakisoba","2013 #6","4","Japan"
"Shin Ramyun Black","2012 #7","4.75","South Korea"
"Hyoubanya No Chukasoba Oriental","2012 #6","4.25","Japan"
"Chow Mein","2012 #4","5","Japan"
"Yakisoba Noodles Karashi","2012 #3","5","Japan"
