"variety","style_name","stars","top_ten","brand_name"
"Premier Bowl Instant Noodles Suki Flavour","Bowl","5","Not listed","Yum Yum"
"Instant Rice Noodle Soup Spicy Shrimp Flavour","Bowl","5","Not listed","Mama"
"Man Han Feast Sichuan Chilli Eel Flavor","Bowl","5","Not listed","Unif"
"Yakibuta Ramen","Bowl","5","Not listed","Tokushima Seifun"
"DJ DOC Jjolmyeon","Bowl","5","Not listed","Foodmon"
"Hurricane Rice Cake (Topokki)","Bowl","5","Not listed","ChoripDong"
"UFO Yakisoba With Wasabi Mayonnaise","Bowl","5","Not listed","Nissin"
"Comet Mori Yukino Tan-tan men","Bowl","5","Not listed","Acecook"
"Negi Miso No Ippin Ramen","Bowl","5","Not listed","New Touch"
"Raoh Rich Miso Flavor","Bowl","5","Not listed","Nissin"
"Rice Noodle Seafood Flavour","Bowl","5","Not listed","Wang"
"Men Shokunin Shoyu","Bowl","5","Not listed","Nissin"
"Wantan Men","Bowl","5","Not listed","Myojo"
"Raoh Rich Miso Flavor","Bowl","5","Not listed","Nissin"
"Penang White Curry Rice Vermicelli Soup","Bowl","5","Not listed","MyKuali"
"Mennippon Oumi Chanpon","Bowl","5","Not listed","Nissin"
"Spicy King Bowl Noodle Spicy Chicken","Bowl","5","Not listed","JML"
"Sesame Oil Chicken Noodle With Rice Wine","Bowl","5","Not listed","TTL"
"Deka Buto Kuro M-yu Tonkotsu","Bowl","5","Not listed","Nissin"
"Gozen Kitsune Udon","Bowl","5","Not listed","Nissin"
"Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","5","Not listed","Uni-President"
"Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen","Bowl","5","Not listed","Maruchan"
"Extra Spicy Singapore Curry Big Bowl","Bowl","5","Not listed","Myojo"
"Sapporo Noukou Miso Ramen","Bowl","5","Not listed","Nissin"
"Gold Sumire Ramen","Bowl","5","Not listed","Seven & I"
"Malaysia Green Curry Noodle","Bowl","5","Not listed","ORee Garden"
"Men Shokunin Kaoruyasai Shio","Bowl","5","Not listed","Nissin"
"Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen)","Bowl","5","Not listed","Nissin"
