"variety","style_name","stars","top_ten","brand_name"
"Cup Rice Noodles Tom Saab Flavour","Cup","5","Not listed","MAMA"
"Cup Noodles Tom Yum Shrimp Sabb Flavour","Cup","5","Not listed","Nissin"
"Seafood Flavour Rice Vermicelli","Cup","5","Not listed","Nissin"
"Shin Black Spicy Pot-au-feu Flavor Premium Noodle Soup","Cup","5","Not listed","Nongshim"
"Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","5","Not listed","KOKA"
"Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","5","Not listed","KOKA"
"Cup Noodles Mini Seafood Flavour","Cup","5","Not listed","Nissin"
"Soba Yakitori Chicken","Cup","5","Not listed","Nissin"
"Creamy Soup With Crushed Noodles Chicken Flavor","Cup","5","Not listed","KOKA"
"Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","5","Not listed","Nissin"
"Hong Kong Street Beef","Cup","5","Not listed","Mr. Lee's Noodles"
"Shaolin Monk Vegetables","Cup","5","Not listed","Mr. Lee's Noodles"
"Chinese Tan Tan Vermicelli","Cup","5","Not listed","Nissin"
"Cup Noodle","Cup","5","Not listed","Nissin"
"Cup Noodle Milk Chikin Ramen","Cup","5","Not listed","Nissin"
"Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","5","Not listed","Nissin"
"Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","5","Not listed","Nissin"
"Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","5","Not listed","Nissin"
"Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","5","Not listed","Nissin"
"Curry Flavour Instant Noodles","Cup","5","Not listed","KOKA"
"Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","5","Not listed","KOKA"
"Cup Noodle Big Cheese Mexican Chilli","Cup","5","Not listed","Nissin"
"Curry Udon","Cup","5","Not listed","Nissin"
"Rendang Beef Flavour Fried Instant Noodle","Cup","5","Not listed","Eat & Go"
"Authentic Street Food Satay","Cup","5","Not listed","Urban Noodle"
"Cup Noodles Sabor Franhp Com Requeijao","Cup","5","Not listed","Nissin"
"Penang Red Tom Yum Goong Noodle Authentic Taste","Cup","5","Not listed","MyKuali"
"Cup Noodle Light+ Cheese Fondue","Cup","5","Not listed","Nissin"
"Cup Noodles Big Spicy Seafood Flavour","Cup","5","Not listed","Nissin"
"Nupasta Carbonara Flavour Instant Noodle","Cup","5","Not listed","Nissin"
"Big Cup Noodles Seafood Curry Flavour","Cup","5","Not listed","Nissin"
"Penang Hokkien Prawn Noodle Authentic Taste","Cup","5","Not listed","MyKuali"
"Kimchi Flavor Noodle Soup","Cup","5","Not listed","Nongshim"
"Cup Noodles Singapore Laksa","Cup","5","Not listed","Nissin"
"Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup","Cup","5","Not listed","Maruchan"
"Cup Noodle Seafood","Cup","5","Not listed","Nissin"
"Mie Goreng Indonesia Spicy Sambal","Cup","5","Not listed","Mamee"
"Cup Noodle Light+ Bagna Cauda","Cup","5","Not listed","Nissin"
"Chef Curry Laksa Flavour","Cup","5","Not listed","Mamee"
"Mi Goreng Instant Cup Noodles","Cup","5","Not listed","Indomie"
"Shin Noodle Soup","Cup","5","Not listed","Nongshim"
"Shin Ramyun Black Onion","Cup","5","Not listed","Nongshim"
"Curry Flavour Instant Noodles","Cup","5","Not listed","Dream Kitchen"
"Instant Cup Noodles Seafood Pad Kee Mao Flavour","Cup","5","Not listed","Mama"
"Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme)","Cup","5","Not listed","Mama"
"Instant Noodles coconut Milk Flavour","Cup","5","Not listed","Mama"
"Cup Shrimp Creamy Tom Yum","Cup","5","Not listed","Mama"
"Cup Noodle Spicy Curry Chicken","Cup","5","Not listed","Nissin"
"Cup Yentafo Tom Yum Mohfai","Cup","5","Not listed","Mama"
"Chef Lontong Flavour","Cup","5","Not listed","Mamee"
"Instant Cup Mi Kuah Rasa Soto","Cup","5","Not listed","Mi Sedaap"
"Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","5","Not listed","Nissin"
"Soon Veggie Noodle Soup","Cup","5","Not listed","Nongshim"
"Instant Cup Noodles Mi Goreng Fried Noodles","Cup","5","Not listed","Indomie"
"Cup Noodle Sio","Cup","5","Not listed","Nissin"
"Emergency Chikin Ramen Cup Noodle","Cup","5","Not listed","Nissin"
"Cup Noodle Pasta Style Bolognese","Cup","5","Not listed","Nissin"
"Cup Noodles Tom Yam Seafood Flavour","Cup","5","Not listed","Nissin"
"Demae Iccho Seafood Flavour Instant Noodle","Cup","4.75","Not listed","Nissin"
"Penang White Curry Authentic Taste Cup","Cup","4.75","Not listed","MyKuali"
"GooTa Demi Hamburg-Men","Cup","4.75","Not listed","Nissin"
"Hot Cup Goreng Perencah Cili Fiesta","Cup","4.75","Not listed","Maggi"
"Chef Creamy Tom Yam Flavour","Cup","4.75","Not listed","Mamee"
"Mi Instan Cup Milk Chicken Soup","Cup","4.75","Not listed","GaGa"
"Cup Noodle Light Plus Ratatouille","Cup","4.5","Not listed","Nissin"
"Mie Goreng Indonesia Original Flavour","Cup","4.5","Not listed","Mamee"
"Soba Sukiyaki Beef","Cup","4.5","Not listed","Nissin"
"Cup Noodles Seafood","Cup","4.5","Not listed","Nissin"
"Seven & I Shoyu","Cup","4.5","Not listed","Seven-Eleven"
"Cup Noodle Chilli Tomato","Cup","4.5","Not listed","Nissin"
"Tempura Udon Flavor Cup Ramyun","Cup","4.5","Not listed","Nongshim"
"Kokomen Spicy Chicken","Cup","4.5","Not listed","Paldo"
"Shin Ramyun Black Spicy Beef","Cup","4.5","Not listed","Nongshim"
"Kimchi","Cup","4.5","Not listed","Super"
"Cup Noodle Vegeta Buta-kyabetsu Tonkotsu","Cup","4.3","Not listed","Nissin"
"Noodles Mi Goreng","Cup","4.3","Not listed","Suimin"
"Cup Noodles Laksa Flavour","Cup","4.25","Not listed","Nissin"
"Chicken Ramen","Cup","4.25","Not listed","Kabuto Noodles"
"Instant Cup Noodles Mi Goreng Satay","Cup","4.25","Not listed","Indomie"
"Sir Long Tang Creamy Beef Noodle Soup","Cup","4.25","Not listed","Nongshim"
"Cup Noodles Ramen Noodle Soup Hearty Chicken Flavor [New Package]","Cup","4.25","Not listed","Nissin"
"The Nation's Noodle Beef & Tomato Flavour","Cup","4.25","Not listed","Golden Wonder"
"Bekse Curry Myon","Cup","4.25","Not listed","Ottogi"
"Spicy Shrimp Cup Ramyun","Cup","4.25","Not listed","Nongshim"
"Cup Noodles Seafood Curry","Cup","4.25","Not listed","Nissin"
"Curry Chicken Mi Instan Cup","Cup","4.25","Not listed","Eat & Go"
"Emergency Cup Noodle","Cup","4.25","Not listed","Nissin"
"Dossari Yasai Chanpon","Cup","4.25","Not listed","Acecook"
"Instant Noodles Shrimp Tom Yum Flavour","Cup","4.25","Not listed","Little Cook"
"Cup Noodle Curry X Gunpla RX-78-2 Gundam","Cup","4.25","Not listed","Nissin"
"Selera Pedas Mi Goreng Cup Rasa Ayam Pedas Limau Hot Chicken Lemon Flavour","Cup","4.25","Not listed","ABC"
"Spicy Chicken Mi Instan Cup","Cup","4.25","Not listed","Eat & Go"
"Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe)","Cup","4","Not listed","Nissin"
"Bombay Bad Boy","Cup","4","Not listed","Pot Noodle"
"Big Cup Noodles Lime Chili Shrimp","Cup","4","Not listed","Nissin"
"Neoguri Spicy Seafood","Cup","4","Not listed","Nongshim"
"Mi Goreng Spesial Special Fried Noodle","Cup","4","Not listed","ABC"
"Selera Pedas Mi Goreng Cup Rasa Gulai Ayam Pedas Hot Gulai Chicken","Cup","4","Not listed","ABC"
"Oolongmen Kimchi Cup Noodle Soup Mix","Cup","4","Not listed","Nongshim"
"Instant Noodles Seafood Flavour","Cup","4","Not listed","Thai Choice"
