"variety","style_name","stars","top_ten","brand_name"
"Instant Noodles Creamy Shrimp Tom Yum Flavour","Pack","5","Not listed","Mama"
"Spicy King Spicy Beef","Pack","5","Not listed","JML"
"Malaysia Penang Green Curry Rice Vermicelli","Pack","5","Not listed","MyOri"
"Otentiq Cheezy Mushroom Instant Noodles","Pack","5","Not listed","CarJEN"
"Veggie Noodle Baby Grass Noodle With Toona Sauce","Pack","5","Not listed","A-Sha Dry Noodle"
"Chef Lontong Flavour","Pack","5","Not listed","Mamee"
"Penang White Curry Noodle","Pack","5","Not listed","The Bridge"
"Malaysia Penang White Curry Noodle Original","Pack","5","Not listed","MyOri"
"Penang Favourite White Curry Rice Vermicelli","Pack","5","Not listed","Ah Lai"
"Instant Non-Fried Noodles Vegetable Curry Flavor","Pack","5","Not listed","Chering Chang"
"Monster Snek Mi Pedas","Pack","5","Not listed","Mamee"
"Penang Asam Pedas Hot & Sour Noodle","Pack","5","Not listed","Nanyang Chef"
"Jumbo Instant Noodles Tom Yum Kung Creamy Flavour","Pack","5","Not listed","Yum Yum"
"Spicy & Sour Flavor","Pack","5","Not listed","Mom's Dry Noodle"
"Chef Creamy Tom Yam Flavour","Pack","5","Not listed","Mamee"
"Mi Goreng Ala Jawa Dengan Sambal Cabe Asli","Pack","5","Not listed","Salam Mie"
"Kumamoto Tonkotsu Ramen","Pack","5","Not listed","Kimura"
"Penang White Curry Noodle (New Improved Tatse)","Pack","5","Not listed","MyKuali"
"Malaysia Penang White Curry Noodle Super Spicy","Pack","5","Not listed","MyOri"
"Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor","Pack","5","Not listed","Deshome"
"Instant Kampua Dark Soy Sauce","Pack","5","Not listed","The Kitchen Food"
"Penang Hokkien Prawn Noodle","Pack","5","Not listed","MyKuali"
"Chow Mein Japanese Style Noodles Yakisoba","Pack","5","Not listed","Sapporo Ichiban"
"Instant Non-Fried Noodles Shallot Pork Flavour","Pack","5","Not listed","Chering Chang"
"Yakisoba","Pack","5","Not listed","Nissin"
"Sichuan Spicy Flavor","Pack","5","Not listed","Mom's Dry Noodle"
"Emporer Instant Noodles Spicy Chicken","Pack","5","Not listed","JML"
"Preeti Instant Noodles Veg Soup Base","Pack","5","Not listed","Asian Thai Foods"
"Penang White CurryMee","Pack","5","Not listed","Ibumie"
"Vegan Chilli With Sesame Sauce","Pack","5","Not listed","Mom's Dry Noodle"
"Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce","Pack","5","Not listed","Deshome"
"Mi Goreng Sate (Local)","Pack","5","Not listed","Indomie"
"Special Fried Curly Noodle (Local)","Pack","5","Not listed","Indomie"
"Jinjja Jinjja (New)","Pack","5","Not listed","Nongshim"
"Ramen E Ramen White Broth","Pack","5","Not listed","Emart"
"Dry Noodle Mandarin Noodle - Onion Oil Sauce","Pack","5","Not listed","A-Sha Dry Noodle"
"Red Nagasaki Jjampong","Pack","5","Not listed","Samyang Foods"
"Yakisoba","Pack","5","Not listed","Takamori Kosan"
"Mini Instant Noodles Artificial Chicken Flavor","Pack","5","Not listed","Tokyo Noodle"
"Japanese Ramen Kyushu Black Instant Noodles With Soup Base","Pack","5","Not listed","Nissin"
"Bibim Men Cucumber","Pack","5","Not listed","Paldo"
"Non-Fried Instant Noodles Ramen Tonkotsu Flavor","Pack","5","Not listed","Mama"
"Raobokki Noodle (Export Version)","Pack","5","Not listed","Paldo"
"Sour Soup & Minced Meat Flavor Chef's Grain Naked Oat Noodles","Pack","5","Not listed","Wugudaochang"
"Extra Spicy Curry Instant Noodles","Pack","5","Not listed","Maggi"
"Senses Laksa Instant Noodles","Pack","5","Not listed","Maggi"
"Onion Oil & Shrimp Flavor","Pack","5","Not listed","Mom's Dry Noodle"
"Miso Ramen Rich Sapporo Miso","Pack","5","Not listed","Yamachan"
"Spicy Tonkotsu Noodle Soup","Pack","5","Not listed","Nongshim"
"Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour","Pack","5","Not listed","Ko-Lee"
"Mi Hai Cua Crab Flavor","Pack","5","Not listed","Koka"
"Pancit Canton toyo Mansi","Pack","5","Not listed","Quickchow"
"Mi Goreng Jumbo Beef","Pack","5","Not listed","Indomie"
"Japanese Style Noodles Shio Flavor","Pack","5","Not listed","Myojo"
"Sedaaap Mi Goreng","Pack","5","Not listed","SuperMi"
"Kari 365 Curry Flavour","Pack","5","Not listed","Daddy"
"Spicy Sesame","Pack","5","Not listed","Koka"
"Mild Tonkotsu","Pack","5","Not listed","Yamachan"
"Namja Ramen (USA version)","Pack","5","Not listed","Paldo"
"Mi Goreng Pangsit Fried Noodle With Dumpling","Pack","5","Not listed","ABC"
"Curry La-Men","Pack","5","Not listed","Chering Chang"
"Sesame Ramen","Pack","5","Not listed","Sapporo Ichiban"
"Shrimp Creamy Tom Yum","Pack","5","Not listed","Mama"
"Premuim Noodle House Crab Jjampong","Pack","5","Not listed","HoMyeonDang"
"Curly Noodles With Grilled Chicken","Pack","5","Not listed","Indomie"
"Pancit Canton Sweet Spicy","Pack","5","Not listed","Lucky Me!"
"Mi Goreng","Pack","5","Not listed","Mama"
"Mi Goreng Rasa Ayam Panggang Jumbo (Local)","Pack","5","Not listed","Indomie"
"Aloe Noodle With Basil Sauce","Pack","5","Not listed","Deshome"
"Sesame Noodles","Pack","5","Not listed","Sakurai Foods"
"Nagasaki Sara Udon","Pack","5","Not listed","Higashi"
"Jinjja Jinjja","Pack","5","Not listed","Nongshim"
"Nagasaki Crab Jjampong","Pack","5","Not listed","Samyang Foods"
"Chow Mein (New)","Pack","5","Not listed","Sapporo Ichiban"
"Steam Spinach Ramen With Onion","Pack","5","Not listed","Wu Mu"
"Dry Noodle QQ Thin Noodle - BBQ Sauce","Pack","5","Not listed","A-Sha Dry Noodle"
"Korean Traditional Beef Gomtangmen","Pack","5","Not listed","Paldo"
"Potato Pork Ramyun","Pack","5","Not listed","Nongshim"
"Ramen Noodle Soup Creamy Chicken","Pack","5","Not listed","Maruchan"
"Namja","Pack","5","Not listed","Paldo"
"Shio","Pack","5","Not listed","Sapporo Ichiban"
"Aloe Noodle Vegetable Sauce","Pack","5","Not listed","Deshome"
"Potatoes & Stewed Beef","Pack","5","Not listed","Master Kong"
"Kko Kko Myun","Pack","5","Not listed","Paldo"
"Aloe Noodle Red Onion & Sesame Sauce","Pack","5","Not listed","Deshome"
"Curry Udon","Pack","5","Not listed","Takamori Kosan"
"Ramen House Thai Coconut Ramen","Pack","5","Not listed","Annie Chun's"
"Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base","Pack","5","Not listed","Nissin"
"Shin Black Spicy Po-Au-Feu Flavor (Mew Edition)","Pack","5","Not listed","Nongshim"
"Chikin Ramen (Local)","Pack","5","Not listed","Nissin"
"Superior Soup","Pack","5","Not listed","Fuku"
"Cheese Ramyun (for US market)","Pack","5","Not listed","Paldo"
"Tachia Dried Noodles - Rou Zhou Meat Sauce","Pack","5","Not listed","Amianda"
"Mi Goreng Barbecue Chicken","Pack","5","Not listed","Indomie"
"Mi Goreng","Pack","5","Not listed","Indomie"
"GoBang","Pack","5","Not listed","SuperMi"
