"variety","style_name","stars","top_ten","brand_name"
"Ramen Shoyu Flavor","Tray","5","Not listed","Sun Noodle"
"Ramen Pork Flavor","Tray","5","Not listed","Sun Noodle"
"Gotsumori Sauce Yakisoba","Tray","5","2015 #9","Maruchan"
"Ippei-chan Yomise No Yakisoba Teriyaki Mayo Flavor","Tray","5","Not listed","Myojo"
"Yakisoba With Mayonnaise/Mustard Packet","Tray","5","Not listed","Nissin"
"Ramen Miso Flavor","Tray","5","Not listed","Sun Noodle"
"Yakisoba","Tray","5","Not listed","Nissin"
"Otafuku Okonomi Sauce Yakisoba","Tray","5","2014 #4","Sapporo Ichiban"
"Yakisoba Noodles Karashi","Tray","5","2012 #3","Nissin"
"Hiroshima Flavor Yakisoba","Tray","5","Not listed","Daikoku"
"Chow Mein Original Flavor","Tray","5","Not listed","A-Sha Dry Noodle"
"Yakisoba","Tray","5","Not listed","Peyang"
"Doong Ji Authentic Korean Cold Noodles With Chili Sauce","Tray","5","Not listed","Nongshim"
"Hyobanya No Yakisoba Sauce Flavor","Tray","4.75","Not listed","Myojo"
"Ippei-chan Yomise-No Yakisoba Oriental","Tray","4.75","Not listed","Myojo"
"Karashi Mayo Yakisoba","Tray","4.75","Not listed","Nissin"
"Chow Mein Spicy Teriyaki Beef","Tray","4.5","Not listed","Nissin"
"Chow Mein Teriyaki Beef","Tray","4.5","Not listed","Nissin"
"Sain Sain Garlic Teriyaki Fresh Cooked Udon Pasta","Tray","4.5","Not listed","Nongshim"
"Ippei-Chan Jumbo Night Market Style Yakisoba","Tray","4.5","Not listed","Myojo"
"Chow Mein Savory Sauce And Restayrant Quality Noodles Roast Chicken Flavor ","Tray","4.5","Not listed","Nissin"
"Yomise No Yakisoba Karashi Mentaiko Flavor","Tray","4.5","Not listed","Myojo"
"spicy Pad Thai Instant Noodles & Sauce","Tray","4.25","Not listed","Thai Pavilion"
"Chow Mein Premium Savory Sauce And Restaurant Quality Noodles Sriracha Flavor","Tray","4.25","Not listed","Nissin"
"Yakisoba Beef Taco Flavor","Tray","4.25","Not listed","Maruchan"
"Dosirac Shrimp","Tray","4.25","Not listed","Paldo"
"Rice Noodle Cart Sweet Citrus Ginger","Tray","4.25","Not listed","Thai Kitchen"
"Dried Mix Noodles Scallop Seafood Flavoured","Tray","4.25","Not listed","Kamfen"
"Dosirac Pork","Tray","4.125","Not listed","Paldo"
"Hot & Spicy Beef","Tray","4","Not listed","Fu Chang Chinese Noodle Company"
"Original Chow Mein Premium Spicy Chicken Flavor","Tray","4","Not listed","Nissin"
"Spaghetti Instant Noodles","Tray","4","Not listed","New Way"
"Chow Noodles Cheddar Cheese","Tray","4","Not listed","Nissin"
"Mi Goreng Bento Noodles In A Box Curry Masala Flavour","Tray","4","Not listed","IbuRamen"
"Hyoubanya No Yakisoba Oriental","Tray","4","Not listed","Myojo"
"Rice Noodle Katsuo","Tray","4","Not listed","Rhee Bros Assi"
"Nama Soba Buckwheat Noodle","Tray","4","Not listed","Sun Noodle"
"Cold Ramen Soy Sauce Vinaigrette","Tray","4","Not listed","Sun Noodle"
"Yakisoba Jalapeno Cheddar","Tray","4","Not listed","Maruchan"
"Dried Mix Noodles Artificial Spicy Pork","Tray","4","Not listed","Kamfen"
"Chow Mein Chinese Chicken Vegetable","Tray","4","Not listed","Nissin"
"Yakisoba Noodle","Tray","4","Not listed","New Touch"
"Chow Mein Orange Chicken","Tray","4","Not listed","Nissin"
"Yakisoba Cheddar Cheese","Tray","4","Not listed","Maruchan"
"Garlic Chili Instant Rice Noodles & Sauce","Tray","4","Not listed","Thai Pavilion"
"Ippeichan Yakisoba","Tray","4","2013 #6","Myojo"
